event_id,fecha_inicio,fecha_fin,nombre_evento,categoria,subcategoria,ambito,ubicacion,proximidad_la_roca,impacto_esperado,intensidad_sugerida,direccion_demanda,franja_probable,segmento_cliente,confianza_fecha,estimado,feature_sugerida,fuente_tipo,source_url,notas_modelado
EVT_0001,2025-10-10,2025-10-13,Puente escolar de octubre / Hispanidad en domingo,calendario_escolar,puente_no_lectivo,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,medio,2,mixto,"comida,cena","familias,residentes",alta,0,puente_octubre_escolar,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,El 13/10/2025 figura como dia no lectivo en el calendario escolar. Puede alterar comidas familiares y salidas de fin de semana.
EVT_0002,2025-10-19,2025-10-19,12a Carrera Popular Ciudad de Pozuelo,evento_deportivo_local,running,Pozuelo,Polideportivo El Torreon y calles principales,media,medio,2,aumenta,"manana,comida","familias,deportistas,acompanantes",alta,0,evento_running_local,oficial,https://www.pozuelodealarcon.org/agenda/12a-carrera-popular-ciudad-de-pozuelo,Evento local de domingo; posible incremento en desayuno/comida y movilidad por calles.
EVT_0003,2025-10-21,2025-10-22,Champions League 2025/26 - jornada 3,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0004,2025-10-24,2025-10-26,Fin de semana de El Clasico en Madrid,evento_deportivo_tv,futbol_laliga,Madrid / TV,Santiago Bernabeu y visionado en restaurantes,baja,medio,2,aumenta,"tarde,cena","aficionados,grupos",alta,0,futbol_clasico_madrid,oficial,https://www.realmadrid.com/es-ES/noticias/futbol/primer-equipo/actualidad/el-real-madrid-barcelona-se-jugara-el-domingo-26-de-octubre-a-las-16-15-h-24-09-2025,"El partido Real Madrid-Barcelona fue el 26/10/2025 a las 16:15. Si el restaurante ofrece TV o promo, puede afectar tarde y cena."
EVT_0005,2025-10-31,2025-10-31,Halloween,calendario_social,fecha_senalada,General,Pozuelo / Madrid,media,medio,2,aumenta,"tarde,cena,noche","familias,jovenes,grupos",alta,0,halloween,regla_calendario,regla_calendario_estandar,"Fecha no festiva con efecto en ocio familiar, cenas informales y grupos."
EVT_0006,2025-10-31,2025-11-03,Puente de Todos los Santos / no lectivo escolar,calendario_escolar,puente_no_lectivo,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,medio,2,mixto,"comida,cena","familias,residentes",alta,0,puente_todos_los_santos,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,El 03/11/2025 figura como dia no lectivo; puede desplazar demanda por escapadas y comidas familiares.
EVT_0007,2025-11-04,2025-11-05,Champions League 2025/26 - jornada 4,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0008,2025-11-25,2025-11-26,Champions League 2025/26 - jornada 5,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0009,2025-11-28,2025-11-30,Black Friday y fin de semana comercial,calendario_comercial,compras,General / Madrid,Zonas comerciales y restauracion,media,bajo,1,mixto,"comida,tarde,cena","compradores,familias",alta,0,black_friday,regla_modelado,regla_modelado_negocio,Evento comercial; util para capturar posible incremento por compras o disminucion por gasto alternativo.
EVT_0010,2025-12-01,2025-12-19,Campana de cenas y comidas de empresa de Navidad,temporada_modelado,navidad_empresa,General / Madrid,Restauracion,alta,alto,3,aumenta,"comida,cena","empresas,grupos",media,1,cenas_empresa_navidad,regla_modelado,regla_modelado_negocio,Rango heuristico para comidas y cenas de empresa antes de vacaciones escolares; conviene validar con reservas historicas.
