article_code,article_name,in_article_master,article_name_article_master,in_menu,article_name_menu,article_name_any_history,observed_in_any_history,periods_observed,first_observed_period_index,last_observed_period_index,first_observed_period_start,last_observed_period_start,last_observed_period_end,article_name_history,units_total_history,periods_since_last_observed,observed_last_4_periods,observed_last_8_periods,observed_latest_complete_period,observed_in_complete_history,explicit_active_article_master,explicit_inactive_article_master,explicit_signal_article_master,explicit_active_menu,explicit_inactive_menu,explicit_signal_menu,explicit_active_any,explicit_inactive_any,explicit_status_conflict,explicit_signal_available,activity_status,manual_review_required,forecast_eligible_recommended,forecast_scope_reason
1,NUESTRAS CROQUETAS DE JAMON,True,NUESTRAS CROQUETAS DE JAMON,True,NUESTRAS CROQUETAS DE JAMON,NUESTRAS CROQUETAS DE JAMON,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,NUESTRAS CROQUETAS DE JAMON,1054.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
2,RAVIOLI DE RABO DE TERNERA,True,RAVIOLI DE RABO DE TERNERA,True,RAVIOLI DE RABO DE TERNERA,RAVIOLI DE RABO DE TERNERA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,RAVIOLI DE RABO DE TERNERA,2378.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
3,NUESTRAS PATATAS BRAVAS,True,NUESTRAS PATATAS BRAVAS,True,NUESTRAS PATATAS BRAVAS,NUESTRAS PATATAS BRAVAS,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,NUESTRAS PATATAS BRAVAS,683.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
10,KIMUCHI DE MARISCOS,True,KIMUCHI DE MARISCOS,True,KIMUCHI DE MARISCOS,KIMUCHI DE MARISCOS,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,KIMUCHI DE MARISCOS,1105.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
11,BOMBONES DE FOIE,True,BOMBONES DE FOIE,True,BOMBONES DE FOIE,BOMBONES DE FOIE,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,BOMBONES DE FOIE,494.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
30,CHIPIRONES A LA PLANCA,True,CHIPIRONES A LA PLANCA,True,CHIPIRONES A LA PLANCA,CHIPIRONES A LA PLANCA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,CHIPIRONES A LA PLANCA,435.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
35,COCA COLA,True,COCA COLA,True,COCA COLA,COCA COLA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,COCA COLA,577.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
37,COCA COLA ZERO,True,COCA COLA ZERO,True,COCA COLA ZERO,COCA COLA ZERO,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,COCA COLA ZERO,1335.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
38,NESTEA,True,NESTEA,True,NESTEA,NESTEA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,NESTEA,281.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
39,AQUARIUS,True,AQUARIUS,True,AQUARIUS,AQUARIUS,True,38.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,AQUARIUS,323.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
40,SPRITE,True,SPRITE,True,SPRITE,SPRITE,True,29.0,1.0,38.0,2025-10-13,2026-06-29,2026-07-05,SPRITE,74.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
41,TONICA,True,TONICA,True,TONICA,TONICA,True,29.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,TONICA,54.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
46,REFRESCO LIMON,True,REFRESCO LIMON,True,REFRESCO LIMON,REFRESCO LIMON,True,29.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,REFRESCO LIMON,68.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
47,REFRESCO NARANJA,True,REFRESCO NARANJA,True,REFRESCO NARANJA,REFRESCO NARANJA,True,33.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,REFRESCO NARANJA,94.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
48,AGUA CRISTAL,True,AGUA CRISTAL,True,AGUA CRISTAL,AGUA CRISTAL,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,AGUA CRISTAL,1699.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
49,AGUA CON GAS,True,AGUA CON GAS,True,AGUA CON GAS,AGUA CON GAS,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,AGUA CON GAS,1370.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
82,LA ESCUCHA BIERZO,True,LA ESCUCHA BIERZO,True,LA ESCUCHA BIERZO,LA ESCUCHA BIERZO,True,36.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,LA ESCUCHA BIERZO,337.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
96,RACIÓN DE PAN,True,RACIÓN DE PAN,True,RACIÓN DE PAN,RACIÓN DE PAN,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,RACIÓN DE PAN,14908.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1504,TORRIJA,True,TORRIJA,True,TORRIJA,TORRIJA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,TORRIJA,950.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1505,TARTA DE QUESO,True,TARTA DE QUESO,True,TARTA DE QUESO,TARTA DE QUESO,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,TARTA DE QUESO,691.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1507,OTROS DESCRIPCIÓN,True,OTROS DESCRIPCIÓN,True,OTROS DESCRIPCIÓN,OTROS DESCRIPCIÓN,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,OTROS DESCRIPCIÓN,825.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1523,TINTO DE VERANO,True,TINTO DE VERANO,True,TINTO DE VERANO,TINTO DE VERANO,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,TINTO DE VERANO,1097.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1537,ZUMO DE TOMATE PREPARADO,True,ZUMO DE TOMATE PREPARADO,True,ZUMO DE TOMATE PREPARADO,ZUMO DE TOMATE PREPARADO,True,37.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,ZUMO DE TOMATE PREPARADO,115.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1573,SEAGRAMS,True,SEAGRAMS,True,SEAGRAMS,SEAGRAMS,True,23.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,SEAGRAMS,78.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1631,PULPO A LA BRASA,True,PULPO A LA BRASA,True,PULPO A LA BRASA,PULPO A LA BRASA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,PULPO A LA BRASA,398.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1632,HAMBURGUESA DE VACA  ANGUS A LA BRASA,True,HAMBURGUESA DE VACA  ANGUS A LA BRASA,True,HAMBURGUESA DE VACA  ANGUS A LA BRASA,HAMBURGUESA DE VACA  ANGUS A LA BRASA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,HAMBURGUESA DE VACA  ANGUS A LA BRASA,697.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1633,CHULETON DE VACA VIEJA,True,CHULETON DE VACA VIEJA,True,CHULETON DE VACA VIEJA,CHULETON DE VACA VIEJA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,CHULETON DE VACA VIEJA,539.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1637,COPA DE VICTORIA,True,COPA DE VICTORIA,True,COPA DE VICTORIA,COPA DE VICTORIA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,COPA DE VICTORIA,5119.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1652,CHIPIRONES FRITOS CON HUEVO,True,CHIPIRONES FRITOS CON HUEVO,True,CHIPIRONES FRITOS CON HUEVO,CHIPIRONES FRITOS CON HUEVO,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,CHIPIRONES FRITOS CON HUEVO,388.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1662,TORTILLA DE BETANZOS,True,TORTILLA DE BETANZOS,True,TORTILLA DE BETANZOS,TORTILLA DE BETANZOS,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,TORTILLA DE BETANZOS,724.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1690,CAFÉ E INFUSIONES,True,CAFÉ E INFUSIONES,True,CAFÉ E INFUSIONES,CAFÉ E INFUSIONES,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,CAFÉ E INFUSIONES,4480.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1691,CERVEZA VICTORIA,True,CERVEZA VICTORIA,True,CERVEZA VICTORIA,CERVEZA VICTORIA,True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,CERVEZA VICTORIA,2016.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1692,"VICTORIA 0,0 RUBIA",True,"VICTORIA 0,0 RUBIA",True,"VICTORIA 0,0 RUBIA","VICTORIA 0,0 RUBIA",True,39.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,"VICTORIA 0,0 RUBIA",567.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1698,BARCELO,True,BARCELO,True,BARCELO,BARCELO,True,12.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,BARCELO,33.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1701,BEEFEATER,True,BEEFEATER,True,BEEFEATER,BEEFEATER,True,22.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,BEEFEATER,58.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
1706,LICORES VARIOS,True,LICORES VARIOS,True,LICORES VARIOS,LICORES VARIOS,True,17.0,0.0,38.0,2025-10-06,2026-06-29,2026-07-05,LICORES VARIOS,54.0,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,recent_observed,False,True,included_recent_demand_history
