column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,72
ticket_id,string,0,0.0,72
date,datetime64[ns],0,0.0,69
time,string,0,0.0,71
table,string,0,0.0,23
served_by,string,0,0.0,4
base,float64,0,0.0,72
vat_rate,float64,0,0.0,1
vat,float64,0,0.0,71
total,float64,0,0.0,72
cash_tendered,float64,0,0.0,69
cash_amount,float64,0,0.0,72
card_amount,float64,0,0.0,5
change_amount,float64,0,0.0,25
payment_method,string,0,0.0,2
raw_text,object,0,0.0,72
quality_repeated_business_key,bool,0,0.0,1
base__negative,bool,0,0.0,1
vat__negative,bool,0,0.0,1
total__negative,bool,0,0.0,1
cash_amount__negative,bool,0,0.0,1
card_amount__negative,bool,0,0.0,1
invoice_total_difference,float64,0,0.0,8
invoice_reconciliation__invalid,bool,0,0.0,1
payment_total_difference,float64,0,0.0,1
payment_reconciliation__invalid,bool,0,0.0,1
pago_tarjeta,bool,0,0.0,2
base__outlier,bool,0,0.0,2
vat__outlier,bool,0,0.0,2
total__outlier,bool,0,0.0,2
cash_tendered__outlier,bool,0,0.0,2
cash_amount__outlier,bool,0,0.0,2
card_amount__outlier,bool,0,0.0,1
change_amount__outlier,bool,0,0.0,2
invoice_total_difference__outlier,bool,0,0.0,1
