dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
facturas,base,15,337.27,True,strong,True,True,2,52.887499999999996,114.5025,61.615,-39.535000000000004,206.925,130.34499999999997,2.115475127809786,6.419553135253372
facturas,base,20,217.09,True,candidate,True,False,1,52.887499999999996,114.5025,61.615,-39.535000000000004,206.925,10.164999999999992,0.16497606102410114,3.464343146190302
facturas,base,24,212.86,True,candidate,True,False,1,52.887499999999996,114.5025,61.615,-39.535000000000004,206.925,5.935000000000002,0.09632394709080584,3.3603280167699605
facturas,base,37,283.27,True,strong,True,True,2,52.887499999999996,114.5025,61.615,-39.535000000000004,206.925,76.34499999999997,1.2390651627038864,5.091700419248998
facturas,base,49,252.68,True,strong,True,True,2,52.887499999999996,114.5025,61.615,-39.535000000000004,206.925,45.754999999999995,0.7425951472855635,4.339496445497631
facturas,vat,15,33.73,True,strong,True,True,2,5.2875,11.4475,6.16,-3.9525000000000006,20.6875,13.042499999999997,2.1172889610389607,6.415735883424406
facturas,vat,20,21.71,True,candidate,True,False,1,5.2875,11.4475,6.16,-3.9525000000000006,20.6875,1.0225000000000009,0.16599025974025988,3.462187613843351
facturas,vat,24,21.29,True,candidate,True,False,1,5.2875,11.4475,6.16,-3.9525000000000006,20.6875,0.6024999999999991,0.09780844155844141,3.358985428051001
facturas,vat,37,28.33,True,strong,True,True,2,5.2875,11.4475,6.16,-3.9525000000000006,20.6875,7.642499999999998,1.240665584415584,5.088850637522768
facturas,vat,49,25.27,True,strong,True,True,2,5.2875,11.4475,6.16,-3.9525000000000006,20.6875,4.5825,0.7439123376623376,4.336948998178505
facturas,total,15,371.0,True,strong,True,True,2,58.175000000000004,125.95,67.775,-43.487500000000004,227.6125,143.3875,2.1156399852452967,6.419205882352941
facturas,total,20,238.8,True,candidate,True,False,1,58.175000000000004,125.95,67.775,-43.487500000000004,227.6125,11.1875,0.16506824050165989,3.4641470588235297
facturas,total,24,234.15,True,candidate,True,False,1,58.175000000000004,125.95,67.775,-43.487500000000004,227.6125,6.537499999999994,0.0964588712652157,3.360205882352941
facturas,total,37,311.6,True,strong,True,True,2,58.175000000000004,125.95,67.775,-43.487500000000004,227.6125,83.98750000000001,1.2392106233862044,5.091441176470589
facturas,total,49,277.95,True,strong,True,True,2,58.175000000000004,125.95,67.775,-43.487500000000004,227.6125,50.33749999999998,0.7427148653633342,4.339264705882353
facturas,cash_tendered,15,376.0,True,strong,True,True,2,57.075,125.95,68.875,-46.2375,229.2625,146.7375,2.1304900181488207,5.644500000000001
facturas,cash_tendered,20,240.0,True,candidate,True,False,1,57.075,125.95,68.875,-46.2375,229.2625,10.737500000000011,0.15589836660617076,2.999020547945206
facturas,cash_tendered,24,234.15,True,candidate,True,False,1,57.075,125.95,68.875,-46.2375,229.2625,4.887500000000017,0.07096188747731422,2.8852260273972603
facturas,cash_tendered,37,320.0,True,strong,True,True,2,57.075,125.95,68.875,-46.2375,229.2625,90.73750000000001,1.3174228675136117,4.55518493150685
facturas,cash_tendered,49,286.0,True,strong,True,True,2,57.075,125.95,68.875,-46.2375,229.2625,56.73750000000001,0.8237749546279494,3.8938150684931507
facturas,cash_amount,15,371.0,True,strong,True,True,2,56.8,125.95,69.15,-46.92500000000001,229.675,141.325,2.043745480838756,5.83872004521477
facturas,cash_amount,20,238.8,True,candidate,True,False,1,56.8,125.95,69.15,-46.92500000000001,229.675,9.125,0.13195950831525669,3.150885832705351
facturas,cash_amount,24,234.15,True,candidate,True,False,1,56.8,125.95,69.15,-46.92500000000001,229.675,4.474999999999994,0.06471438900939977,3.056344009042954
facturas,cash_amount,37,311.6,True,strong,True,True,2,56.8,125.95,69.15,-46.92500000000001,229.675,81.92500000000001,1.1847433116413595,4.631024491333837
facturas,cash_amount,49,277.95,True,strong,True,True,2,56.8,125.95,69.15,-46.92500000000001,229.675,48.27499999999998,0.6981200289226316,3.9468669932177844
facturas,change_amount,35,8.450000000000003,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,0.9187500000000046,0.3049792531120348,
facturas,change_amount,37,8.399999999999977,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,0.868749999999979,0.2883817427385823,
facturas,change_amount,39,12.0,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,4.468750000000002,1.483402489626557,
facturas,change_amount,49,8.050000000000011,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,0.5187500000000131,0.17219917012448574,
facturas,change_amount,51,9.900000000000006,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,2.3687500000000075,0.7863070539419114,
facturas,change_amount,71,8.200000000000003,True,candidate,True,False,1,0.0,3.0124999999999993,3.0124999999999993,-4.518749999999999,7.531249999999998,0.6687500000000046,0.22199170124481488,
