flag,flagged_rows,flagged_fraction
change_amount__outlier,6,0.08333333333333333
vat__outlier,5,0.06944444444444445
cash_amount__outlier,5,0.06944444444444445
total__outlier,5,0.06944444444444445
base__outlier,5,0.06944444444444445
cash_tendered__outlier,5,0.06944444444444445
quality_repeated_business_key,0,0.0
base__negative,0,0.0
payment_reconciliation__invalid,0,0.0
invoice_reconciliation__invalid,0,0.0
card_amount__negative,0,0.0
cash_amount__negative,0,0.0
total__negative,0,0.0
vat__negative,0,0.0
card_amount__outlier,0,0.0
invoice_total_difference__outlier,0,0.0
