flag,flagged_rows,flagged_fraction
quality_repeated_business_key,0,0.0
temperature_mean__physically_suspicious,0,0.0
temperature_max__physically_suspicious,0,0.0
temperature_min__physically_suspicious,0,0.0
precipitation_mm__negative,0,0.0
rain_mm__negative,0,0.0
precipitation_hours__negative,0,0.0
precipitation_hours__physically_suspicious,0,0.0
wind_speed_max_kmh__negative,0,0.0
sunshine_duration_s__negative,0,0.0
sunshine_duration_s__physically_suspicious,0,0.0
sunshine_hours__negative,0,0.0
sunshine_hours__physically_suspicious,0,0.0
