column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
datetime,datetime64[ns],0,0.0,30864
temperature_2m,float64,0,0.0,448
weather_code,int64,0,0.0,13
rain_mm,float64,0,0.0,80
latitude,float64,0,0.0,1
longitude,float64,0,0.0,1
elevation,float64,0,0.0,1
utc_offset_seconds,int64,0,0.0,1
timezone,string,0,0.0,1
timezone_abbreviation,string,0,0.0,1
quality_repeated_business_key,bool,0,0.0,1
temperature_2m__physically_suspicious,bool,0,0.0,1
rain_mm__negative,bool,0,0.0,1
