column,dtype,missing_count,missing_fraction,unique_non_null
reference,string,21339,0.9999062836793028,2
entered_by,string,18274,0.856286022210768,3
referrer,string,14976,0.7017478093810037,4
table,string,1446,0.06775689986411133,132
lead_time_hours,float64,38,0.0017806100932477391,16376
source_file,string,0,0.0,1
reservation_datetime,datetime64[ns],0,0.0,10686
created_datetime,datetime64[ns],0,0.0,21316
reservation_date,datetime64[ns],0,0.0,1152
reservation_time,string,0,0.0,39
status,string,0,0.0,11
shift,string,0,0.0,2
people,Int64,0,0.0,34
origin,string,0,0.0,6
created_date,datetime64[ns],0,0.0,1330
created_time,string,0,0.0,17157
restaurant,string,0,0.0,1
reservation_type,string,0,0.0,1
zone,string,0,0.0,3
group,string,0,0.0,2
reference_code,string,0,0.0,21341
quality_repeated_business_key,bool,0,0.0,1
status_grouped,object,0,0.0,8
people__invalid,boolean,0,0.0,1
is_large_group,boolean,0,0.0,2
is_walk_in,bool,0,0.0,2
lead_time_hours_raw,float64,0,0.0,17304
created_after_reservation_time,bool,0,0.0,2
walk_in_created_after_slot,bool,0,0.0,2
lead_time__invalid,bool,0,0.0,2
zone__imputed,bool,0,0.0,2
people__outlier,bool,0,0.0,2
