column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
report_start,datetime64[us],0,0.0,1
report_end,datetime64[us],0,0.0,1
report_generated_on,datetime64[us],0,0.0,1
terminal_start,string,0,0.0,1
terminal_end,string,0,0.0,1
turn,string,0,0.0,1
date,datetime64[ns],0,0.0,242
document_id,string,0,0.0,6709
document_total,float64,0,0.0,2669
receipt_count,Int64,0,0.0,5
quality_repeated_business_key,bool,0,0.0,1
day_of_week,object,0,0.0,7
week_of_year,Int64,0,0.0,41
document_total__negative,bool,0,0.0,1
receipt_count__negative,boolean,0,0.0,1
document_total__outlier,bool,0,0.0,2
receipt_count__outlier,bool,0,0.0,1
week_of_year__outlier,bool,0,0.0,1
