column,dtype,missing_count,missing_fraction,unique_non_null
source_file,string,0,0.0,1
report_start,datetime64[us],0,0.0,1
report_end,datetime64[us],0,0.0,1
report_generated_on,datetime64[us],0,0.0,1
terminal_start,string,0,0.0,1
terminal_end,string,0,0.0,1
turn,string,0,0.0,1
document_id,string,0,0.0,1697
document_amount,float64,0,0.0,1372
tip,float64,0,0.0,299
document_total,float64,0,0.0,365
quality_repeated_business_key,bool,0,0.0,1
tip__negative,bool,0,0.0,1
tip_reconciliation_difference,float64,0,0.0,9
tip_reconciliation__invalid,bool,0,0.0,1
tip_ratio,float64,0,0.0,1393
document_amount__outlier,bool,0,0.0,2
tip__outlier,bool,0,0.0,2
document_total__outlier,bool,0,0.0,2
tip_reconciliation_difference__outlier,bool,0,0.0,1
tip_ratio__outlier,bool,0,0.0,2
