dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
tips,document_amount,51,349.05,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,52.42500000000001,0.5815307820299501,4.100359703337453
tips,document_amount,81,299.3,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,2.6750000000000114,0.02967276760953978,3.270783065512979
tips,document_amount,83,309.85,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,13.225000000000023,0.1466999445368832,3.446703337453646
tips,document_amount,87,365.45,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,68.82499999999999,0.7634498058790903,4.373828182941902
tips,document_amount,137,474.5,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,177.875,1.973100388241819,6.192226823238566
tips,document_amount,143,306.1,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,9.475000000000023,0.10510260676650052,3.384172435105068
tips,document_amount,186,337.85,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,41.22500000000002,0.45729339988907397,3.9136007416563654
tips,document_amount,189,347.9,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,51.27499999999998,0.5687742651136991,4.0811835599505555
tips,document_amount,257,500.75,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,204.125,2.264281752634498,6.629943139678615
tips,document_amount,291,355.3,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,58.67500000000001,0.6508596783139213,4.204577873918417
tips,document_amount,294,346.1,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,49.47500000000002,0.5488075429839159,4.051168726823239
tips,document_amount,299,329.95,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,33.32499999999999,0.36966167498613406,3.781868974042027
tips,document_amount,324,371.0,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,74.375,0.8250138657792567,4.4663739184177995
tips,document_amount,328,357.5,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,60.875,0.675263449805879,4.241262669962917
tips,document_amount,344,311.65,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,15.024999999999977,0.1666666666666664,3.476718170580963
tips,document_amount,365,299.2,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,2.5749999999999886,0.028563505268995988,3.2691155747836826
tips,document_amount,391,342.15,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,45.52499999999998,0.5049916805324456,3.9853028430160684
tips,document_amount,398,345.85,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,49.22500000000002,0.546034387132557,4.047
tips,document_amount,428,396.0,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,99.375,1.1023294509151413,4.883246600741656
tips,document_amount,429,359.0,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,62.375,0.6919023849140321,4.266275030902348
tips,document_amount,460,581.55,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,284.92499999999995,3.1605657237936766,7.977275648949319
tips,document_amount,465,782.9,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,486.275,5.394065446478091,11.334768232385661
tips,document_amount,470,364.15,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,67.52499999999998,0.7490293954520241,4.352150803461063
tips,document_amount,472,314.2,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,17.57499999999999,0.19495285635052675,3.5192391841779966
tips,document_amount,502,825.8,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,529.175,5.869938990571269,12.050121755253398
tips,document_amount,504,1365.0,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,1068.375,11.851081530782029,21.041231767614335
tips,document_amount,537,585.0,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,288.375,3.198835274542429,8.034804079110012
tips,document_amount,542,921.95,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,625.325,6.936494731003883,13.653414091470951
tips,document_amount,557,522.2,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,225.57500000000005,2.5022185246810875,6.9876199011124855
tips,document_amount,575,317.55,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,20.92500000000001,0.23211314475873554,3.5751001236093938
tips,document_amount,591,301.75,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,5.125,0.05684969495285635,3.311636588380717
tips,document_amount,625,543.45,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,246.82500000000005,2.7379367720465893,7.3419616810877635
tips,document_amount,705,560.15,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,263.525,2.9231835829173596,7.620432632880098
tips,document_amount,707,350.7,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,54.07499999999999,0.5998336106489183,4.127873300370827
tips,document_amount,719,333.15,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,36.52499999999998,0.40515806988352715,3.8352286773794804
tips,document_amount,720,484.9,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,188.27499999999998,2.0884636716583467,6.365645859085289
tips,document_amount,725,298.9,True,candidate,True,False,1,71.25,161.4,90.15,-63.97500000000002,296.625,2.2749999999999773,0.025235718247365247,3.2641131025957963
tips,document_amount,735,381.35,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,84.72500000000002,0.9398225180255132,4.638959208899877
tips,document_amount,760,361.3,True,strong,True,True,2,71.25,161.4,90.15,-63.97500000000002,296.625,64.67500000000001,0.7174154187465336,4.304627317676142
