dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
total_articles,units,0,1359.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,364.75,0.9269377382465057,16.275435185185184
total_articles,units,1,634.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,7.219648148148148
total_articles,units,2,1188.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,193.75,0.4923761118170267,14.139518518518518
total_articles,units,5,733.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.456231481481481
total_articles,units,6,945.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,11.104268518518518
total_articles,units,7,2041.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,1046.75,2.6601016518424396,24.79412037037037
total_articles,units,8,914.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,10.717055555555556
total_articles,units,9,511.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,5.6832870370370365
total_articles,units,10,651.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,7.431990740740741
total_articles,units,11,448.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.89637037037037
total_articles,units,12,537.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.008046296296296
total_articles,units,13,557.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.257861111111111
total_articles,units,14,435.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.733990740740741
total_articles,units,15,444.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.8464074074074075
total_articles,units,16,414.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.471685185185185
total_articles,units,17,715.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.231398148148148
total_articles,units,18,551.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.182916666666666
total_articles,units,19,868.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,10.14248148148148
total_articles,units,20,834.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,9.717796296296296
total_articles,units,23,438.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.771462962962963
total_articles,units,24,421.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.55912037037037
total_articles,units,28,486.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,5.371018518518518
total_articles,units,30,730.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.418759259259259
total_articles,units,31,380.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.047
total_articles,units,38,597.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.7574907407407405
total_articles,units,39,1399.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,404.75,1.02858958068615,16.775064814814815
total_articles,units,47,1774.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,779.75,1.9815756035578145,21.45909259259259
total_articles,units,48,1419.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,424.75,1.0794155019059721,17.024879629629627
total_articles,units,56,2733.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,1738.75,4.418678526048285,33.43771296296296
total_articles,units,58,1126.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,131.75,0.33481575603557817,13.365092592592593
total_articles,units,59,5304.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,4309.75,10.952350698856417,65.55140740740741
total_articles,units,60,2060.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,1065.75,2.7083862770012708,25.031444444444443
total_articles,units,61,583.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.58262037037037
total_articles,units,62,483.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,5.333546296296297
total_articles,units,67,445.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.858898148148148
total_articles,units,74,541.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,6.058009259259259
total_articles,units,97,479.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,5.283583333333333
total_articles,units,125,749.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.656083333333333
total_articles,units,132,383.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.084472222222222
total_articles,units,140,987.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,11.628879629629628
total_articles,units,141,353.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,3.70975
total_articles,units,142,992.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,11.691333333333333
total_articles,units,150,1516.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,521.75,1.3259212198221093,18.23648148148148
total_articles,units,173,966.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,11.366574074074073
total_articles,units,174,709.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.156453703703702
total_articles,units,175,4575.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,3580.75,9.099745870393901,56.44565740740741
total_articles,units,176,379.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.034509259259259
total_articles,units,178,1097.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,102.75,0.2611181702668361,13.00286111111111
total_articles,units,180,408.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.396740740740741
total_articles,units,188,340.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,3.5473703703703703
total_articles,units,190,400.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.296814814814815
total_articles,units,191,745.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,8.60612037037037
total_articles,units,193,426.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.621574074074074
total_articles,units,194,1917.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,922.75,2.3449809402795427,23.245268518518518
total_articles,units,203,654.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,7.469462962962963
total_articles,units,208,957.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,11.254157407407408
total_articles,units,212,341.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,3.5598611111111107
total_articles,units,213,624.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,7.094740740740741
total_articles,units,217,15332.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,14337.75,36.436467598475225,190.80855555555556
total_articles,units,218,827.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,9.63036111111111
total_articles,units,221,2806.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,1811.75,4.604193138500635,34.34953703703704
total_articles,units,222,442.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,4.821425925925926
total_articles,units,229,818.0,True,candidate,False,True,1,10.5,404.0,393.5,-579.75,994.25,0.0,0.0,9.517944444444444
total_articles,units,234,1087.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,92.75,0.23570520965692504,12.877953703703703
total_articles,units,235,2455.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,1460.75,3.7121982210927573,29.965287037037033
