dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
ventas,units,7,65.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,20.5,1.2058823529411764,6.40775
ventas,units,36,40.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.5973333333333333
ventas,units,42,57.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,12.5,0.7352941176470589,5.508416666666666
ventas,units,49,141.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,96.5,5.676470588235294,14.951416666666667
ventas,units,83,71.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,26.5,1.5588235294117647,7.082249999999999
ventas,units,101,319.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,274.5,16.147058823529413,34.96158333333333
ventas,units,116,65.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,20.5,1.2058823529411764,6.40775
ventas,units,120,85.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,40.5,2.3823529411764706,8.656083333333333
ventas,units,127,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,131,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,147,75.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,30.5,1.7941176470588236,7.531916666666667
ventas,units,164,43.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.934583333333333
ventas,units,172,65.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,20.5,1.2058823529411764,6.40775
ventas,units,173,56.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,11.5,0.6764705882352942,5.396
ventas,units,177,70.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,25.5,1.5,6.969833333333334
ventas,units,178,59.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,14.5,0.8529411764705882,5.733249999999999
ventas,units,179,157.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,112.5,6.617647058823529,16.750083333333333
ventas,units,180,66.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,21.5,1.2647058823529411,6.520166666666667
ventas,units,206,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
