layer,dataset,column,role,dtype,rows,non_null_count,missing_count,missing_fraction,unique_non_null,min,q25,median,mean,q75,max,std
silver,articulos,source_file,categorical_or_text,string,405,405,0,0.0,1,,,,,,,
silver,articulos,article_code,identifier,Int64,405,405,0,0.0,405,1.0,1873.0,2206.0,4312.150617283951,2327.0,34023.0,8335.470123676518
silver,articulos,article_name,categorical_or_text,string,405,405,0,0.0,399,,,,,,,
silver,articulos,article_short_name,categorical_or_text,string,405,18,387,0.9555555555555556,18,,,,,,,
silver,articulos,department_code,identifier,Int64,405,405,0,0.0,22,1.0,6.0,9.0,12.604938271604938,14.0,34.0,9.427785735258443
silver,articulos,quality_repeated_business_key,quality_flag,bool,405,405,0,0.0,1,,,,,,,
silver,articulos,article_code__conflict,boolean,bool,405,405,0,0.0,1,,,,,,,
silver,departamentos,source_file,categorical_or_text,string,23,23,0,0.0,1,,,,,,,
silver,departamentos,department_code,identifier,Int64,23,23,0,0.0,23,1.0,6.5,13.0,15.73913043478261,27.0,34.0,11.152730571904181
silver,departamentos,department_name,categorical_or_text,string,23,23,0,0.0,23,,,,,,,
silver,departamentos,department_short_name,categorical_or_text,string,23,0,23,1.0,0,,,,,,,
silver,departamentos,quality_repeated_business_key,quality_flag,bool,23,23,0,0.0,1,,,,,,,
silver,departamentos,department_code__conflict,boolean,bool,23,23,0,0.0,1,,,,,,,
silver,eventos,source_file,categorical_or_text,string,522,522,0,0.0,1,,,,,,,
silver,eventos,date,datetime,datetime64[ns],522,522,0,0.0,262,,,,,,,
silver,eventos,event_id,identifier,string,522,522,0,0.0,78,,,,,,,
silver,eventos,event_start,datetime,datetime64[ns],522,522,0,0.0,72,,,,,,,
silver,eventos,event_end,datetime,datetime64[ns],522,522,0,0.0,64,,,,,,,
silver,eventos,event_duration_days,numeric,int64,522,522,0,0.0,18,1.0,9.0,31.0,30.333333333333332,44.0,79.0,25.503151737784503
silver,eventos,event_day_number,numeric,int64,522,522,0,0.0,79,1.0,3.0,9.0,15.666666666666666,24.0,79.0,17.133102059476045
silver,eventos,event_name,categorical_or_text,string,522,522,0,0.0,75,,,,,,,
silver,eventos,event_category,categorical_or_text,string,522,522,0,0.0,11,,,,,,,
silver,eventos,event_subcategory,categorical_or_text,string,522,522,0,0.0,38,,,,,,,
silver,eventos,event_scope,categorical_or_text,string,522,522,0,0.0,14,,,,,,,
silver,eventos,event_location,categorical_or_text,string,522,522,0,0.0,28,,,,,,,
silver,eventos,proximity_la_roca,categorical_or_text,string,522,522,0,0.0,4,,,,,,,
silver,eventos,expected_impact,categorical_or_text,string,522,522,0,0.0,7,,,,,,,
silver,eventos,event_intensity,numeric,int64,522,522,0,0.0,7,-2.0,0.0,2.0,1.2183908045977012,2.0,4.0,1.236911086941101
silver,eventos,demand_direction,categorical_or_text,string,522,522,0,0.0,3,,,,,,,
silver,eventos,probable_service_window,categorical_or_text,string,522,522,0,0.0,18,,,,,,,
silver,eventos,customer_segment,categorical_or_text,string,522,522,0,0.0,30,,,,,,,
silver,eventos,date_confidence,categorical_or_text,string,522,522,0,0.0,3,,,,,,,
silver,eventos,is_estimated,numeric,int64,522,522,0,0.0,2,0.0,0.0,0.0,0.23754789272030652,0.0,1.0,0.4259888829676867
silver,eventos,suggested_feature,categorical_or_text,string,522,522,0,0.0,54,,,,,,,
silver,eventos,source_type,categorical_or_text,string,522,522,0,0.0,3,,,,,,,
silver,eventos,source_url,categorical_or_text,string,522,522,0,0.0,30,,,,,,,
silver,eventos,modeling_notes,categorical_or_text,string,522,522,0,0.0,62,,,,,,,
silver,eventos,quality_repeated_business_key,quality_flag,bool,522,522,0,0.0,1,,,,,,,
silver,eventos,event_range__invalid,quality_flag,bool,522,522,0,0.0,1,,,,,,,
silver,eventos,event_duration_days__invalid,quality_flag,bool,522,522,0,0.0,1,,,,,,,
silver,eventos,event_day_number__invalid,quality_flag,bool,522,522,0,0.0,1,,,,,,,
silver,facturas,source_file,categorical_or_text,string,72,72,0,0.0,72,,,,,,,
silver,facturas,ticket_id,identifier,string,72,72,0,0.0,72,,,,,,,
silver,facturas,date,datetime,datetime64[ns],72,72,0,0.0,69,,,,,,,
silver,facturas,time,categorical_or_text,string,72,72,0,0.0,71,,,,,,,
silver,facturas,table,categorical_or_text,string,72,72,0,0.0,23,,,,,,,
silver,facturas,served_by,categorical_or_text,string,72,72,0,0.0,4,,,,,,,
silver,facturas,base,numeric,float64,72,72,0,0.0,72,12.18,52.887499999999996,76.205,92.48388888888888,114.5025,337.27,64.26915407055881
silver,facturas,vat_rate,numeric,float64,72,72,0,0.0,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0
silver,facturas,vat,numeric,float64,72,72,0,0.0,71,1.22,5.2875,7.619999999999999,9.24875,11.4475,33.73,6.427025671247411
silver,facturas,total,numeric,float64,72,72,0,0.0,72,13.4,58.175000000000004,83.825,101.73263888888889,125.95,371.0,70.69617903082106
silver,facturas,cash_tendered,numeric,float64,72,72,0,0.0,69,11.0,57.075,85.825,101.8138888888889,125.95,376.0,73.51947821918544
silver,facturas,cash_amount,numeric,float64,72,72,0,0.0,72,11.0,56.8,83.825,100.0027777777778,125.95,371.0,72.32652236383066
silver,facturas,card_amount,numeric,float64,72,72,0,0.0,5,0.0,0.0,0.0,1.729861111111111,0.0,50.0,8.012233866390446
silver,facturas,change_amount,numeric,float64,72,72,0,0.0,25,0.0,0.0,0.0,1.811111111111111,3.0124999999999993,12.0,3.0542076981660524
silver,facturas,payment_method,categorical_or_text,string,72,72,0,0.0,2,,,,,,,
silver,facturas,raw_text,categorical_or_text,object,72,72,0,0.0,72,,,,,,,
silver,facturas,quality_repeated_business_key,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,base__negative,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,vat__negative,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,total__negative,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,cash_amount__negative,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,card_amount__negative,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,invoice_total_difference,numeric,float64,72,72,0,0.0,8,-5.684341886080802e-14,0.0,0.0,-2.5165055224836883e-15,0.0,1.4210854715202004e-14,9.985368001888859e-15
silver,facturas,invoice_reconciliation__invalid,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,payment_total_difference,numeric,float64,72,72,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver,facturas,payment_reconciliation__invalid,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,pago_tarjeta,boolean,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,base__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,vat__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,total__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,cash_tendered__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,cash_amount__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,card_amount__outlier,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,facturas,change_amount__outlier,quality_flag,bool,72,72,0,0.0,2,,,,,,,
silver,facturas,invoice_total_difference__outlier,quality_flag,bool,72,72,0,0.0,1,,,,,,,
silver,festivos,source_file,categorical_or_text,string,57,57,0,0.0,1,,,,,,,
silver,festivos,date,datetime,datetime64[ns],57,57,0,0.0,57,,,,,,,
silver,festivos,holiday_name,categorical_or_text,string,57,57,0,0.0,19,,,,,,,
silver,festivos,is_holiday,numeric,Int64,57,57,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
silver,festivos,day_name,categorical_or_text,string,57,57,0,0.0,7,,,,,,,
silver,festivos,holiday_level,categorical_or_text,string,57,57,0,0.0,3,,,,,,,
silver,festivos,quality_repeated_business_key,quality_flag,bool,57,57,0,0.0,1,,,,,,,
silver,menu,source_file,categorical_or_text,string,405,405,0,0.0,1,,,,,,,
silver,menu,article_code,identifier,Int64,405,405,0,0.0,405,1.0,1873.0,2206.0,4312.150617283951,2327.0,34023.0,8335.470123676518
silver,menu,article_name,categorical_or_text,string,405,405,0,0.0,399,,,,,,,
silver,menu,quality_repeated_business_key,quality_flag,bool,405,405,0,0.0,1,,,,,,,
silver,menu,article_code__conflict,boolean,bool,405,405,0,0.0,1,,,,,,,
silver,meteo_diaria,source_file,categorical_or_text,string,1286,1286,0,0.0,1,,,,,,,
silver,meteo_diaria,date,datetime,datetime64[ns],1286,1286,0,0.0,1286,,,,,,,
silver,meteo_diaria,temperature_mean,numeric,float64,1286,1286,0,0.0,304,-0.4,8.2,13.95,15.168740279937792,21.7,32.2,8.283608274075348
silver,meteo_diaria,temperature_max,numeric,float64,1286,1286,0,0.0,336,3.8,13.025,20.0,21.123639191290824,28.575000000000003,40.1,9.187577527922334
silver,meteo_diaria,temperature_min,numeric,float64,1286,1286,0,0.0,286,-5.5,4.2,8.9,9.70139968895801,15.3,25.3,7.092760461035897
silver,meteo_diaria,precipitation_mm,numeric,float64,1286,1286,0,0.0,143,0.0,0.0,0.0,1.6744945567651635,0.7,77.1,4.747400142192259
silver,meteo_diaria,rain_mm,numeric,float64,1286,1286,0,0.0,142,0.0,0.0,0.0,1.645334370139969,0.7,77.1,4.698063762624087
silver,meteo_diaria,precipitation_hours,numeric,float64,1286,1286,0,0.0,25,0.0,0.0,0.0,2.5948678071539657,3.0,24.0,4.856375017372494
silver,meteo_diaria,wind_speed_max_kmh,numeric,float64,1286,1286,0,0.0,256,4.5,11.6,15.5,16.040279937791603,19.6,40.9,6.002779738657296
silver,meteo_diaria,sunshine_duration_s,numeric,float64,1286,1286,0,0.0,1159,0.0,31210.4375,39580.225,36505.202402799376,46951.0625,53068.03,13351.105927718236
silver,meteo_diaria,sunshine_hours,numeric,float64,1286,1286,0,0.0,1159,0.0,8.669565972222223,10.994506944444444,10.140334000777605,13.041961805555555,14.741119444444443,3.7086405354772882
silver,meteo_diaria,latitude,numeric,float64,1286,1286,0,0.0,1,40.45694,40.45694,40.45694,40.45694000000001,40.45694,40.45694,7.10819157764628e-15
silver,meteo_diaria,longitude,numeric,float64,1286,1286,0,0.0,1,-3.8081665,-3.8081665,-3.8081665,-3.8081665,-3.8081665,-3.8081665,0.0
silver,meteo_diaria,elevation,numeric,float64,1286,1286,0,0.0,1,701.0,701.0,701.0,701.0,701.0,701.0,0.0
silver,meteo_diaria,utc_offset_seconds,numeric,int64,1286,1286,0,0.0,1,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,0.0
silver,meteo_diaria,timezone,categorical_or_text,string,1286,1286,0,0.0,1,,,,,,,
silver,meteo_diaria,timezone_abbreviation,categorical_or_text,string,1286,1286,0,0.0,1,,,,,,,
silver,meteo_diaria,quality_repeated_business_key,quality_flag,bool,1286,1286,0,0.0,1,,,,,,,
silver,meteo_diaria,temperature_mean__physically_suspicious,boolean,bool,1286,1286,0,0.0,1,,,,,,,
silver,meteo_diaria,temperature_max__physically_suspicious,boolean,bool,1286,1286,0,0.0,1,,,,,,,
