layer,dataset,column,role,missing_count,missing_fraction
silver,departamentos,department_short_name,categorical_or_text,23,1.0
silver,reservas,reference,identifier,21339,0.9999062836793028
gold,tabla_maestra_diaria,festivo_nombre,categorical_or_text,269,0.9572953736654805
silver,articulos,article_short_name,categorical_or_text,387,0.9555555555555556
silver,reservas,entered_by,categorical_or_text,18274,0.856286022210768
gold,tabla_maestra_diaria,facturacion_facturas_pdf,numeric,212,0.7544483985765125
gold,tabla_maestra_diaria,base_facturas_pdf,numeric,212,0.7544483985765125
gold,tabla_maestra_diaria,iva_facturas_pdf,numeric,212,0.7544483985765125
gold,tabla_maestra_diaria,efectivo_facturas_pdf,numeric,212,0.7544483985765125
gold,tabla_maestra_diaria,tarjeta_facturas_pdf,numeric,212,0.7544483985765125
silver,reservas,referrer,categorical_or_text,14976,0.7017478093810037
gold,tabla_maestra_diaria,eventos_nombres,categorical_or_text,101,0.3594306049822064
gold,tabla_maestra_diaria,eventos_categorias,categorical_or_text,101,0.3594306049822064
gold,tabla_maestra_diaria,event_intensity_mean,numeric,101,0.3594306049822064
gold,tabla_maestra_diaria,event_intensity_max,numeric,101,0.3594306049822064
gold,tabla_maestra_diaria,facturacion_tickets,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,ticket_medio,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,ticket_mediano,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,ticket_maximo,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,ticket_minimo,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,tamano_grupo_medio,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,tamano_grupo_mediano,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,tamano_grupo_maximo,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,no_show_rate,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,cancel_rate,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,lead_time_horas_medio,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,lead_time_horas_mediano,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,facturacion,numeric,39,0.1387900355871886
gold,tabla_maestra_diaria,facturacion_source,categorical_or_text,39,0.1387900355871886
silver,reservas,table,categorical_or_text,1446,0.06775689986411133
silver,reservas,lead_time_hours,numeric,38,0.0017806100932477391
