article_code,units_total,units_mean_observed_period,units_median_observed_period,units_std_observed_period,amount_total,periods_observed,article_name,article_name_mode,article_name_values,article_name_changed,department_code,department_code_mode,departments_observed,department_changed,department_name,department_name_mode,period_coverage_fraction,units_share,units_cumulative_share
96,15332.0,373.9512195121951,371.0,66.81614745685064,25064.183250000002,41,RACIÓN DE PAN,RACIÓN DE PAN,1,False,15,15,1,False,OTROS,OTROS,1.0,0.15719485312964576,0.15719485312964576
1637,5304.0,129.3658536585366,135.0,30.726011860930612,23132.52008,41,COPA DE VICTORIA,COPA DE VICTORIA,1,False,5,5,1,False,CERVEZAS,CERVEZAS,1.0,0.05438047880248116,0.2115753319321269
1690,4575.0,111.58536585365853,115.0,25.478398310879058,9409.41145,41,CAFÉ E INFUSIONES,CAFÉ E INFUSIONES,1,False,13,13,1,False,POSTRES,POSTRES,1.0,0.04690623878607679,0.2584815707182037
2138,3128.0,76.29268292682927,81.0,19.892516058104643,15478.50136,41,SAM DE GAMBAS,SAM DE GAMBAS,1,False,28,28,1,False,CLASICOS,CLASICOS,1.0,0.032070538780950425,0.2905521094991541
1945,2806.0,68.4390243902439,64.0,36.621065509135455,4072.58132,41,EXTRA CROQUETA DE JAMON,EXTRA CROQUETA DE JAMON,1,False,22,22,1,False,EXTRAS,EXTRAS,1.0,0.028769159788793765,0.31932126928794785
2309,2733.0,66.65853658536585,70.0,16.202792592787148,7404.81279,41,AGUA 70CL,AGUA 70CL,1,False,4,4,1,False,REFRESCOS,REFRESCOS,1.0,0.028020710514174398,0.3473419798021222
2,2455.0,59.8780487804878,56.0,17.97386313783325,14722.79983,41,RAVIOLI DE RABO DE TERNERA,RAVIOLI DE RABO DE TERNERA,1,False,28,28,1,False,CLASICOS,CLASICOS,1.0,0.02517045163274722,0.37251243143486945
1691,2060.0,50.24390243902439,44.0,22.927909289558954,5907.1979599999995,41,CERVEZA VICTORIA,CERVEZA VICTORIA,1,False,5,5,1,False,CERVEZAS,CERVEZAS,1.0,0.02112062336597119,0.39363305480084065
2381,2041.0,49.78048780487805,50.0,15.122023996677745,12612.76485,41,PAN BAO DE CARRILLERA DE CERDO,PAN BAO DE CARRILLERA DE CERDO,1,False,1,1,1,False,TAPAS CALIENTES,TAPAS CALIENTES,1.0,0.020925821499974368,0.414558876300815
1974,1917.0,53.25,53.0,23.035841638629137,6446.74602,36,ZAMBURIÑAS A LA BRASA,ZAMBURIÑAS A LA BRASA,1,False,3,14,2,True,CARTA,SUGERENCIAS,0.8780487804878049,0.019654483006100374,0.4342133593069154
