report_start,report_end,units_total,articles_observed,amount_total,period_days,period_is_complete,units_per_day,amount_per_day
2025-10-01,2025-10-05,1919.0,125,10803.93639,5,False,383.8,2160.7872780000002
2025-10-06,2025-10-12,2523.0,142,15045.954450000001,7,True,360.42857142857144,2149.4220642857144
2025-10-13,2025-10-19,1974.0,128,15082.97273,7,True,282.0,2154.7103899999997
2025-10-20,2025-10-26,2278.0,133,13728.2636,7,True,325.42857142857144,1961.1805142857143
2025-10-27,2025-11-02,2122.0,128,13105.06365,7,True,303.14285714285717,1872.15195
2025-11-03,2025-11-09,2000.0,139,14923.90904,7,True,285.7142857142857,2131.9870057142857
2025-11-10,2025-11-16,2506.0,150,15588.33629,7,True,358.0,2226.9051842857143
2025-11-17,2025-11-23,2370.0,144,15055.99094,7,True,338.57142857142856,2150.8558485714284
2025-11-24,2025-11-30,2243.0,140,15114.04551,7,True,320.42857142857144,2159.1493585714284
2025-12-01,2025-12-07,2358.0,140,14852.63636,7,True,336.85714285714283,2121.805194285714
2025-12-08,2025-12-14,2320.0,131,15286.77275,7,True,331.42857142857144,2183.8246785714286
2025-12-15,2025-12-21,3217.0,150,20735.09093,7,True,459.57142857142856,2962.155847142857
2025-12-22,2025-12-28,2834.0,140,18422.72724,7,True,404.85714285714283,2631.818177142857
2025-12-29,2026-01-04,2106.0,134,13168.36365,7,True,300.85714285714283,1881.1948071428571
2026-01-05,2026-01-11,2521.0,132,15410.0,7,True,360.14285714285717,2201.4285714285716
2026-01-12,2026-01-18,2212.0,132,13147.45454,7,True,316.0,1878.2077914285715
2026-01-19,2026-01-25,2204.0,143,13135.27277,7,True,314.85714285714283,1876.4675385714286
2026-01-26,2026-02-01,2272.0,126,13619.45462,7,True,324.57142857142856,1945.6363742857143
2026-02-02,2026-02-08,2624.0,132,15466.27273,7,True,374.85714285714283,2209.467532857143
2026-02-09,2026-02-15,2535.0,134,15531.22732,7,True,362.14285714285717,2218.74676
2026-02-16,2026-02-22,2111.0,131,13619.590900000001,7,True,301.57142857142856,1945.655842857143
2026-02-23,2026-03-01,2377.0,130,14456.83639,7,True,339.57142857142856,2065.2623414285713
2026-03-02,2026-03-08,2328.0,137,14210.86364,7,True,332.57142857142856,2030.1233771428572
2026-03-09,2026-03-15,2420.0,141,15198.31815,7,True,345.7142857142857,2171.188307142857
2026-03-16,2026-03-22,2947.0,145,18302.9818,7,True,421.0,2614.711685714286
2026-03-23,2026-03-29,1931.0,126,11872.27273,7,True,275.85714285714283,1696.0389614285716
2026-03-30,2026-04-05,1962.0,138,11911.90909,7,True,280.2857142857143,1701.7012985714284
2026-04-06,2026-04-12,2582.0,136,15912.0455,7,True,368.85714285714283,2273.1493571428573
2026-04-13,2026-04-19,2620.0,140,17146.89088,7,True,374.2857142857143,2449.55584
2026-04-20,2026-04-26,2838.0,138,17436.72723,7,True,405.42857142857144,2490.961032857143
2026-04-27,2026-05-03,2779.0,136,18357.09091,7,True,397.0,2622.4415585714282
2026-05-04,2026-05-10,2764.0,140,18258.27274,7,True,394.85714285714283,2608.324677142857
2026-05-11,2026-05-17,2838.0,142,18152.95455,7,True,405.42857142857144,2593.2792214285714
2026-05-18,2026-05-24,2572.0,129,16851.04544,7,True,367.42857142857144,2407.292205714286
2026-05-25,2026-05-31,2556.0,127,15632.49999,7,True,365.14285714285717,2233.2142842857143
2026-06-01,2026-06-07,2822.0,144,18519.13638,7,True,403.14285714285717,2645.5909114285714
2026-06-08,2026-06-14,2408.0,124,14949.99095,7,True,344.0,2135.7129928571426
2026-06-15,2026-06-21,2431.0,145,14987.81819,7,True,347.2857142857143,2141.116884285714
2026-06-22,2026-06-28,2049.0,121,12735.72729,7,True,292.7142857142857,1819.389612857143
2026-06-29,2026-07-05,2374.0,128,14824.31819,7,True,339.14285714285717,2117.7597414285715
2026-07-06,2026-07-09,688.0,91,4552.68184,4,False,172.0,1138.17046
