target,year_month,count,calendar_days,target_observed_days,target_missing_days,target_observation_fraction,mean,median,std,minimum,maximum,positive_activity_days,activity_fraction,calendar_days_in_month,calendar_coverage_fraction,is_partial_calendar_month
facturacion,2025-10,26,30,26,4,0.8666666666666667,2673.9565384615385,2202.4750000000004,1409.53008549358,953.3999999999999,5868.5,26,0.8666666666666667,31,0.967741935483871,True
facturacion,2025-11,26,30,26,4,0.8666666666666667,2702.998846153846,2331.85,1426.9471771227609,1036.05,5709.75,26,0.8666666666666667,30,1.0,False
facturacion,2025-12,27,31,27,4,0.8709677419354839,2970.182222222222,2865.7,1274.7488171561586,681.75,6785.2,27,0.8709677419354839,31,1.0,False
facturacion,2026-01,27,31,27,4,0.8709677419354839,2585.776296296296,2361.55,1300.829937762067,751.0999999999999,5009.5,27,0.8709677419354839,31,1.0,False
facturacion,2026-02,24,28,24,4,0.8571428571428571,2643.93875,1958.3999999999999,1489.1879139383682,914.5,5525.3,24,0.8571428571428571,28,1.0,False
facturacion,2026-03,26,31,26,5,0.8387096774193549,2726.473076923077,2300.1,1316.8925242578277,1083.0,5466.599999999999,26,0.8387096774193549,31,1.0,False
facturacion,2026-04,26,30,26,4,0.8666666666666667,2858.4703846153852,2593.0249999999996,1474.3502498673258,637.9,6006.7,26,0.8666666666666667,30,1.0,False
facturacion,2026-05,27,31,27,4,0.8709677419354839,3313.5666666666666,2872.2,1362.3999714869683,1588.3000000000002,5919.750000000001,27,0.8709677419354839,31,1.0,False
facturacion,2026-06,25,30,25,5,0.8333333333333334,2813.55,2416.25,1150.983960361018,1477.6499999999999,5661.0,25,0.8333333333333334,30,1.0,False
facturacion,2026-07,8,9,8,1,0.8888888888888888,2401.55625,2151.2250000000004,1170.1730285479455,788.7,4670.099999999999,8,0.8888888888888888,31,0.2903225806451613,True
