event_id,event_name,event_category,event_subcategory,event_scope,event_location,expected_impact,event_intensity,demand_direction,date_confidence,event_start,event_end,event_duration_days
EVT_0001,Puente escolar de octubre / Hispanidad en domingo,calendario_escolar,puente_no_lectivo,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,medio,2,mixto,alta,2025-10-10,2025-10-13,4
EVT_0002,12a Carrera Popular Ciudad de Pozuelo,evento_deportivo_local,running,Pozuelo,Polideportivo El Torreon y calles principales,medio,2,aumenta,alta,2025-10-19,2025-10-19,1
EVT_0003,Champions League 2025/26 - jornada 3,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2025-10-21,2025-10-22,2
EVT_0004,Fin de semana de El Clasico en Madrid,evento_deportivo_tv,futbol_laliga,Madrid / TV,Santiago Bernabeu y visionado en restaurantes,medio,2,aumenta,alta,2025-10-24,2025-10-26,3
EVT_0005,Halloween,calendario_social,fecha_senalada,General,Pozuelo / Madrid,medio,2,aumenta,alta,2025-10-31,2025-10-31,1
EVT_0006,Puente de Todos los Santos / no lectivo escolar,calendario_escolar,puente_no_lectivo,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,medio,2,mixto,alta,2025-10-31,2025-11-03,4
EVT_0007,Champions League 2025/26 - jornada 4,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2025-11-04,2025-11-05,2
EVT_0008,Champions League 2025/26 - jornada 5,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2025-11-25,2025-11-26,2
EVT_0009,Black Friday y fin de semana comercial,calendario_comercial,compras,General / Madrid,Zonas comerciales y restauracion,bajo,1,mixto,alta,2025-11-28,2025-11-30,3
EVT_0010,Campana de cenas y comidas de empresa de Navidad,temporada_modelado,navidad_empresa,General / Madrid,Restauracion,alto,3,aumenta,media,2025-12-01,2025-12-19,19
EVT_0011,Puente Constitucion-Inmaculada,calendario_social,puente,Espana / Comunidad de Madrid,Pozuelo / Madrid,medio,2,mixto,alta,2025-12-05,2025-12-08,4
EVT_0012,Programacion Navidad en Pozuelo,evento_local_cultural,navidad,Pozuelo,Diferentes ubicaciones municipales,medio,2,aumenta,alta,2025-12-05,2026-01-05,32
EVT_0013,Champions League 2025/26 - jornada 6,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2025-12-09,2025-12-10,2
EVT_0014,Vacaciones escolares de Navidad,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,mixto,0,mixto,alta,2025-12-20,2026-01-07,19
EVT_0015,Nochebuena,calendario_social,fecha_senalada,General,Pozuelo / Madrid,mixto,0,mixto,alta,2025-12-24,2025-12-24,1
EVT_0016,Nochevieja,calendario_social,fecha_senalada,General,Pozuelo / Madrid,mixto,0,mixto,alta,2025-12-31,2025-12-31,1
EVT_0017,Gran Cabalgata de Reyes de Pozuelo,evento_local_cultural,navidad_reyes,Pozuelo,Recorrido con salida en Avenida de Europa,alto,3,aumenta,alta,2026-01-05,2026-01-05,1
