date,event_id,event_name,event_intensity
2026-07-13,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-13,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-13,EVT_0057,Vacaciones escolares de verano,0
2026-07-14,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-14,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-14,EVT_0057,Vacaciones escolares de verano,0
2026-07-14,EVT_0065,Mundial 2026: semifinal Francia-Espana,4
2026-07-15,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-15,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-15,EVT_0057,Vacaciones escolares de verano,0
2026-07-15,EVT_0066,Fiestas de Ntra. Sra. del Carmen 2026 - programa principal,2
2026-07-16,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-16,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-16,EVT_0057,Vacaciones escolares de verano,0
2026-07-16,EVT_0066,Fiestas de Ntra. Sra. del Carmen 2026 - programa principal,2
2026-07-17,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-17,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-17,EVT_0057,Vacaciones escolares de verano,0
2026-07-17,EVT_0066,Fiestas de Ntra. Sra. del Carmen 2026 - programa principal,2
2026-07-18,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-18,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-18,EVT_0057,Vacaciones escolares de verano,0
2026-07-18,EVT_0066,Fiestas de Ntra. Sra. del Carmen 2026 - programa principal,2
2026-07-18,EVT_0067,Mundial 2026: tercer puesto y final,3
2026-07-19,EVT_0054,Copa Mundial FIFA 2026,2
2026-07-19,EVT_0056,Veranos de Pozuelo 2026,2
2026-07-19,EVT_0057,Vacaciones escolares de verano,0
2026-07-19,EVT_0067,Mundial 2026: tercer puesto y final,3
2026-07-19,EVT_0068,Cine de verano Pozuelo: Mr. Burton,1
