gold_dataset,column,source,temporal_availability,description
tabla_maestra_diaria,date,calendar,known_in_advance,Calendar date.
tabla_maestra_diaria,num_tickets,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,num_tickets_unicos,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,facturacion_tickets,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,ticket_medio,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,ticket_mediano,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,ticket_maximo,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,ticket_minimo,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,num_comprobantes,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,num_facturas_pdf,derived,depends_on_source,
tabla_maestra_diaria,num_facturas_pdf_unicas,derived,depends_on_source,
tabla_maestra_diaria,facturacion_facturas_pdf,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,base_facturas_pdf,derived,depends_on_source,
tabla_maestra_diaria,iva_facturas_pdf,derived,depends_on_source,
tabla_maestra_diaria,efectivo_facturas_pdf,derived,depends_on_source,
tabla_maestra_diaria,tarjeta_facturas_pdf,derived,depends_on_source,
tabla_maestra_diaria,facturas_pdf_no_reconciliadas,derived,depends_on_source,
tabla_maestra_diaria,pagos_pdf_no_reconciliados,derived,depends_on_source,
tabla_maestra_diaria,reservas_total,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,comensales_reservados_total,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,tamano_grupo_medio,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,tamano_grupo_mediano,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,tamano_grupo_maximo,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,reservas_completed,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,comensales_completed,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,reservas_cancelled,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,comensales_cancelled,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,reservas_no_show,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,comensales_no_show,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,reservas_pending,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,comensales_pending,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,no_show_rate,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,cancel_rate,reservas,realized_outcome,Reservation-derived historical information.
tabla_maestra_diaria,lead_time_horas_medio,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,lead_time_horas_mediano,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,reservas_walk_in,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,reservas_grupo_grande,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,reservas_turno_cena,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,reservas_turno_comida,reservas,mixed_check_prediction_cutoff,Reservation-derived historical information.
tabla_maestra_diaria,temperature_mean,derived,depends_on_source,
tabla_maestra_diaria,temperature_max,derived,depends_on_source,
tabla_maestra_diaria,temperature_min,derived,depends_on_source,
tabla_maestra_diaria,precipitation_mm,derived,depends_on_source,
tabla_maestra_diaria,rain_mm,derived,depends_on_source,
tabla_maestra_diaria,precipitation_hours,derived,depends_on_source,
tabla_maestra_diaria,wind_speed_max_kmh,derived,depends_on_source,
tabla_maestra_diaria,sunshine_duration_s,derived,depends_on_source,
tabla_maestra_diaria,sunshine_hours,derived,depends_on_source,
tabla_maestra_diaria,latitude,derived,depends_on_source,
tabla_maestra_diaria,longitude,derived,depends_on_source,
tabla_maestra_diaria,elevation,derived,depends_on_source,
tabla_maestra_diaria,utc_offset_seconds,derived,depends_on_source,
tabla_maestra_diaria,es_festivo,festivos,known_in_advance,Holiday/calendar context.
tabla_maestra_diaria,num_festivos,festivos,known_in_advance,Holiday/calendar context.
tabla_maestra_diaria,festivo_nombre,festivos,known_in_advance,Holiday/calendar context.
tabla_maestra_diaria,tiene_evento,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,num_eventos,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,eventos_nombres,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,eventos_categorias,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,event_intensity_mean,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,event_intensity_max,eventos,known_in_advance_if_event_is_scheduled,Scheduled-event context.
tabla_maestra_diaria,year,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,month,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,quarter,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,day_of_month,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,day_of_week_num,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,day_of_week,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,week_of_year,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,is_weekend,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,is_month_start,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,is_month_end,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,week_sin,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,week_cos,calendar,known_in_advance,Calendar-derived feature.
tabla_maestra_diaria,facturacion,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_diaria,facturacion_source,tickets_or_invoices,realized_after_service,Historical realized sales/ticket information.
tabla_maestra_semanal_articulos,report_start,ventas_period_metadata,known_from_report_period,Article-sales report period metadata.
tabla_maestra_semanal_articulos,report_end,ventas_period_metadata,known_from_report_period,Article-sales report period metadata.
tabla_maestra_semanal_articulos,article_code,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,units,ventas,realized_after_period,Observed article-period outcome.
tabla_maestra_semanal_articulos,period_days,ventas_period_metadata,known_from_report_period,Article-sales report period metadata.
tabla_maestra_semanal_articulos,period_is_complete,derived,depends_on_source,
tabla_maestra_semanal_articulos,period_is_complete_week,ventas_period_metadata,known_from_report_period,Article-sales report period metadata.
tabla_maestra_semanal_articulos,amount,ventas,realized_after_period,Observed article-period outcome.
tabla_maestra_semanal_articulos,es_invitacion,ventas,realized_after_period,Observed article-period outcome.
tabla_maestra_semanal_articulos,article_name,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_code,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_name,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,quality_repeated_business_key,derived,depends_on_source,
tabla_maestra_semanal_articulos,units__negative,derived,depends_on_source,
tabla_maestra_semanal_articulos,amount__negative,derived,depends_on_source,
tabla_maestra_semanal_articulos,period__invalid,derived,depends_on_source,
tabla_maestra_semanal_articulos,units__outlier,derived,depends_on_source,
tabla_maestra_semanal_articulos,amount__outlier,derived,depends_on_source,
tabla_maestra_semanal_articulos,article_name__master_conflict__articles_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,article_name__articles_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_code__master_conflict__articles_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_code__articles_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_name__master_conflict__departments_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,department_name__departments_master,master_data,known_in_advance,Article/department master metadata.
tabla_maestra_semanal_articulos,period_id,ventas_period_metadata,known_from_report_period,Article-sales report period metadata.
