dataset,rows,columns,date_start,date_end,missing_cells
articulos,405,7,,,387
departamentos,23,6,,,23
eventos,522,28,2025-10-10,2026-10-01,0
facturas,72,35,2025-10-02,2026-07-09,0
festivos,57,7,2023-01-01,2026-05-15,0
menu,405,5,,,0
meteo_diaria,1286,30,2023-01-01,2026-07-09,0
meteo_horaria,30864,14,2023-01-01,2026-07-09,0
reservas,21341,32,2022-11-10,2026-07-25,56073
tickets,6709,19,2025-10-02,2026-07-09,0
tips,1697,21,2025-01-01,2026-07-07,0
total_articles,251,21,2025-10-01,2026-07-09,0
ventas,5532,21,2025-10-01,2026-07-09,0
