fold,model,model_family,period_index,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,Adaptive regime selector,adaptive_selector,18,132,132,1.0,5.083538887583004,12.067060281996506,0.25572680379609625,-0.09709722068940146,2624.0,2369.2168929110103,0.75
1,Adaptive regime selector,adaptive_selector,19,134,134,1.0,4.457016755924789,8.059747153557236,0.23559772989898292,-0.05603420991109451,2535.0,2392.9532778753755,0.9
1,Adaptive regime selector,adaptive_selector,20,131,131,1.0,4.710715538180797,8.644561225770726,0.29232768143139953,0.13377137377033618,2111.0,2393.3913700291796,0.75
1,Adaptive regime selector,adaptive_selector,21,130,130,1.0,4.929910139310294,9.16200060045871,0.2696206639084301,-0.005777558027496492,2377.0,2363.2667445686407,0.8
2,Adaptive regime selector,adaptive_selector,22,137,137,1.0,4.475346638580766,7.904046286989008,0.26336876696115336,0.029553296218797077,2328.0,2396.8000735973596,0.85
2,Adaptive regime selector,adaptive_selector,23,141,141,1.0,4.515264101713978,9.394666368789084,0.263079437331269,-0.010065066157365214,2420.0,2395.642539899176,0.8
2,Adaptive regime selector,adaptive_selector,24,145,145,1.0,6.44297438626844,12.53304712666134,0.317010955551043,-0.18345923643078424,2947.0,2406.3456302384784,0.75
2,Adaptive regime selector,adaptive_selector,25,126,126,1.0,5.117675277528098,10.700668221787959,0.3339342749707614,0.2337278288229464,1931.0,2382.32843745711,0.8
3,Adaptive regime selector,adaptive_selector,26,138,138,1.0,6.032847376537833,10.193184194501839,0.42432871455770693,0.20566434781372758,1962.0,2365.5134504105336,0.7
3,Adaptive regime selector,adaptive_selector,27,136,136,1.0,4.074801380666683,7.358801116317089,0.21462935235114985,-0.0901524461241071,2582.0,2349.2263841075555,0.85
3,Adaptive regime selector,adaptive_selector,28,140,140,1.0,5.421706076574455,10.157537541599474,0.28970948500779525,-0.10076130765237636,2620.0,2356.005373950774,0.8
3,Adaptive regime selector,adaptive_selector,29,138,138,1.0,6.173700804015755,11.66086604625596,0.30020109617835594,-0.1631757420434078,2838.0,2374.9072440808086,0.8
4,Adaptive regime selector,adaptive_selector,30,136,136,1.0,5.26350269896761,9.772306824606675,0.25758775352990104,-0.1398658475578216,2779.0,2390.3128096368137,0.8
4,Adaptive regime selector,adaptive_selector,31,140,140,1.0,4.958058817292697,9.398420068067447,0.2511317780104839,-0.129215016226854,2764.0,2406.8496951489756,0.9
4,Adaptive regime selector,adaptive_selector,32,142,142,1.0,4.830806874323408,9.136771309434309,0.24171056242210148,-0.1451718416650043,2838.0,2426.0023133547174,0.85
4,Adaptive regime selector,adaptive_selector,33,129,129,1.0,5.983320986832818,11.79412044644311,0.3000965813769182,-0.061798658014827756,2572.0,2413.053851585863,0.8
