fold,model,model_family,regime,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,Adaptive regime selector,adaptive_selector,cold_start,21,21,1.0,2.0873015873015874,3.468871399038711,1.0958333333333334,0.27083333333333337,40.0,50.83333333333333,1.0
1,Adaptive regime selector,adaptive_selector,frequent,401,401,1.0,5.559489083510204,10.530090940273784,0.24452727020813775,-0.02080113105879026,9117.0,8927.356088137007,0.825
1,Adaptive regime selector,adaptive_selector,intermittent,56,56,1.0,1.8253188775510203,5.759655392063682,0.5841020408163266,0.27045124716553287,175.0,222.32896825396827,1.0
1,Adaptive regime selector,adaptive_selector,regular,41,41,1.0,2.3025151000760755,4.312436135889833,0.40171540043880466,0.018552747488917738,235.0,239.35989565989564,1.0
1,Adaptive regime selector,adaptive_selector,sparse,8,8,1.0,7.05625,12.70151319725331,0.7056250000000001,-0.013125000000000008,80.0,78.95,1.0
2,Adaptive regime selector,adaptive_selector,cold_start,16,16,1.0,0.8643573917526577,1.5201624838220835,0.5319122410785586,-0.06871123667173412,26.0,24.213507846534913,1.0
2,Adaptive regime selector,adaptive_selector,frequent,412,412,1.0,6.192783559353121,11.384137884538141,0.27334763514607735,-0.019226042611240498,9334.0,9154.54411826668,0.8250000000000001
2,Adaptive regime selector,adaptive_selector,intermittent,62,62,1.0,3.292300889075083,8.64415005437728,1.4077424491217596,0.8887371249440215,145.0,273.8668831168832,1.0
2,Adaptive regime selector,adaptive_selector,regular,47,47,1.0,1.1302248005783675,1.6878055645519778,0.5107746694921468,0.022681140660495844,104.0,106.35883862869159,1.0
2,Adaptive regime selector,adaptive_selector,sparse,12,12,1.0,0.5277777777777778,0.8706372719216995,0.37254901960784315,0.3019607843137255,17.0,22.133333333333333,1.0
3,Adaptive regime selector,adaptive_selector,cold_start,39,39,1.0,2.278826540955623,3.750413040965827,0.5885710933593993,-0.3044863275761889,151.0,105.02256453599547,1.0
3,Adaptive regime selector,adaptive_selector,frequent,393,393,1.0,6.8840945256398225,11.330922296175553,0.2854150383559922,-0.046388283393146816,9479.0,9039.285461716361,0.7874999999999999
3,Adaptive regime selector,adaptive_selector,intermittent,40,40,1.0,1.176068795000306,1.8745775158096813,0.5407212850576119,-0.13297506969723177,87.0,75.43116893634084,1.0
3,Adaptive regime selector,adaptive_selector,regular,54,54,1.0,1.2225188629707897,1.9930753370778993,0.44605417973258543,-0.1548653781916166,148.0,125.07992402764073,1.0
3,Adaptive regime selector,adaptive_selector,sparse,26,26,1.0,3.474358974358975,11.6873134005612,0.659367396593674,-0.2639902676399027,137.0,100.83333333333333,1.0
4,Adaptive regime selector,adaptive_selector,cold_start,13,13,1.0,2.513634950026066,4.746271477412398,1.0211641984480893,0.2770009446533487,32.0,40.864030228907154,1.0
4,Adaptive regime selector,adaptive_selector,frequent,394,394,1.0,6.649561563081815,11.713883933829733,0.24994535926867345,-0.12412276527753435,10482.0,9180.945174360884,0.8375000000000001
4,Adaptive regime selector,adaptive_selector,intermittent,55,55,1.0,0.9739077835402024,1.2906469318898068,0.428519424757689,-0.012845131414524374,125.0,123.39435857318448,1.0
4,Adaptive regime selector,adaptive_selector,regular,54,54,1.0,1.9028713221953677,3.0116766730937554,0.608018055612721,-0.1824197695600825,169.0,138.17105894434607,1.0
4,Adaptive regime selector,adaptive_selector,sparse,31,31,1.0,1.898809523809524,2.63521720106777,0.40595238095238095,0.0540968801313629,145.0,152.84404761904761,1.0
