fold,period_index,role
1,1,train
1,2,train
1,3,train
1,4,train
1,5,train
1,6,train
1,7,train
1,8,train
1,9,train
1,10,train
1,11,train
1,12,train
1,13,train
1,14,train
1,15,train
1,16,train
1,17,train
1,18,validation
1,19,validation
1,20,validation
1,21,validation
2,1,train
2,2,train
2,3,train
2,4,train
2,5,train
2,6,train
2,7,train
2,8,train
2,9,train
2,10,train
2,11,train
2,12,train
2,13,train
2,14,train
2,15,train
2,16,train
2,17,train
2,18,train
2,19,train
2,20,train
2,21,train
2,22,validation
2,23,validation
2,24,validation
2,25,validation
3,1,train
3,2,train
3,3,train
3,4,train
3,5,train
3,6,train
3,7,train
3,8,train
3,9,train
3,10,train
3,11,train
3,12,train
3,13,train
3,14,train
3,15,train
3,16,train
3,17,train
3,18,train
3,19,train
3,20,train
3,21,train
3,22,train
3,23,train
3,24,train
3,25,train
3,26,validation
3,27,validation
3,28,validation
3,29,validation
4,1,train
4,2,train
4,3,train
4,4,train
4,5,train
4,6,train
4,7,train
4,8,train
4,9,train
4,10,train
4,11,train
4,12,train
4,13,train
4,14,train
4,15,train
4,16,train
4,17,train
4,18,train
4,19,train
4,20,train
4,21,train
4,22,train
4,23,train
4,24,train
4,25,train
4,26,train
4,27,train
4,28,train
4,29,train
4,30,validation
4,31,validation
4,32,validation
4,33,validation
