fold,model,model_family,regime,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
1,HistGradientBoosting Poisson,hist_gradient_boosting,cold_start,21,21,1.0,1.6804449446048102,2.7420348064018443,0.8822335959175254,0.3559214064061501,40.0,54.236856256246,1.0
1,HistGradientBoosting Poisson,hist_gradient_boosting,frequent,401,401,1.0,6.463743538192309,13.510677822804015,0.28429978708074105,-0.1039325361893846,9117.0,8169.447067561381,0.8
1,HistGradientBoosting Poisson,hist_gradient_boosting,intermittent,56,56,1.0,1.8510785641634242,5.458831224072904,0.5923451405322957,0.07034317577669197,175.0,187.3100557609211,1.0
1,HistGradientBoosting Poisson,hist_gradient_boosting,regular,41,41,1.0,2.36141431810403,5.001847369576576,0.4119914342224053,-0.08394889806901512,235.0,215.27200895378144,1.0
1,HistGradientBoosting Poisson,hist_gradient_boosting,sparse,8,8,1.0,7.678259588368913,13.306794226276448,0.7678259588368913,0.07821128415472031,80.0,86.25690273237763,1.0
1,Random Forest,random_forest,cold_start,21,21,1.0,2.847481060154646,3.8088249927828404,1.494927556581189,1.2148064273608625,40.0,88.59225709443452,1.0
1,Random Forest,random_forest,frequent,401,401,1.0,5.765398059665869,11.407297501396181,0.25358392255413115,-0.0541458242291883,9117.0,8623.35252050249,0.825
1,Random Forest,random_forest,intermittent,56,56,1.0,2.0562000145304418,6.293725337549819,0.6579840046497413,0.4841034598830256,175.0,259.71810547952947,1.0
1,Random Forest,random_forest,regular,41,41,1.0,2.369509741400561,5.018891673074036,0.4134038272230766,0.17809542010693796,235.0,276.85242372513034,1.0
1,Random Forest,random_forest,sparse,8,8,1.0,7.4002033868388555,11.68746646111348,0.7400203386838855,0.11518683922216244,80.0,89.214947137773,1.0
2,HistGradientBoosting Poisson,hist_gradient_boosting,cold_start,16,16,1.0,0.8643573917526577,1.5201624838220835,0.5319122410785586,-0.06871123667173412,26.0,24.213507846534913,1.0
2,HistGradientBoosting Poisson,hist_gradient_boosting,frequent,412,412,1.0,6.10123981942747,11.214128497900923,0.2693069215346173,-0.025016529745648882,9334.0,9100.495711354113,0.8125
2,HistGradientBoosting Poisson,hist_gradient_boosting,intermittent,62,62,1.0,1.7741264959939624,3.637921183159622,0.7585920189767288,0.24583846601798776,145.0,180.64657757260818,1.0
2,HistGradientBoosting Poisson,hist_gradient_boosting,regular,47,47,1.0,1.1954080050454592,1.722434912200152,0.540232463818621,0.02138272217749087,104.0,106.22380310645903,1.0
2,HistGradientBoosting Poisson,hist_gradient_boosting,sparse,12,12,1.0,0.504793772501586,0.5591976703155813,0.3563250158834725,0.1524332055981102,17.0,19.59136449516787,1.0
2,Random Forest,random_forest,cold_start,16,16,1.0,1.4802918624083605,1.7592090330628636,0.910948838405145,0.5569679203914768,26.0,40.4811659301784,1.0
2,Random Forest,random_forest,frequent,412,412,1.0,6.330318388752856,11.450346905127113,0.27941838184767265,-0.015369978918241411,9334.0,9190.536616777135,0.85
2,Random Forest,random_forest,intermittent,62,62,1.0,2.755233978202612,6.408087740525861,1.1781000458521513,0.7896089302876012,145.0,259.4932948917022,1.0
2,Random Forest,random_forest,regular,47,47,1.0,1.4189681867128487,1.7890302200719737,0.6412644689952297,0.2907644857109274,104.0,134.23950651393645,1.0
2,Random Forest,random_forest,sparse,12,12,1.0,1.083215118468396,1.2106229087552516,0.7646224365659267,0.7421660851744649,17.0,29.6168234479659,1.0
3,HistGradientBoosting Poisson,hist_gradient_boosting,cold_start,39,39,1.0,2.278826540955623,3.750413040965827,0.5885710933593993,-0.3044863275761889,151.0,105.02256453599547,1.0
3,HistGradientBoosting Poisson,hist_gradient_boosting,frequent,393,393,1.0,7.612078360940283,14.077746051915085,0.31559729885531507,-0.08908896308489227,9479.0,8634.525718918307,0.775
3,HistGradientBoosting Poisson,hist_gradient_boosting,intermittent,40,40,1.0,1.176068795000306,1.8745775158096813,0.5407212850576119,-0.13297506969723177,87.0,75.43116893634084,1.0
3,HistGradientBoosting Poisson,hist_gradient_boosting,regular,54,54,1.0,1.4276439908624257,2.2908369472909835,0.5208971318011553,-0.2251625800891247,148.0,114.67593814680956,1.0
3,HistGradientBoosting Poisson,hist_gradient_boosting,sparse,26,26,1.0,3.5124882203738492,12.143893931079091,0.6666036038665699,-0.3019754387770237,137.0,95.62936488754775,1.0
