fold,model,source_column,train_periods,validation_periods,fallback_value,fallback_fraction,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel,model_family,unseen_category_fraction,encoded_feature_count,fit_seconds,predict_seconds
1,Naive lag 1,units__lag_1,17,4,7.0,0.17267552182163187,527,527,1.0,6.895635673624288,12.558931292837633,0.37669741888670055,0.02943920389758474,9647.0,9931.0,0.7749999999999999,baseline,,,0.0,0.0
1,Rolling mean 4,units__rolling_mean_4,17,4,7.0,0.04364326375711575,527,527,1.0,5.333333333333333,10.762163440630031,0.291351370028679,-0.016965550602950834,9647.0,9483.333333333332,0.825,baseline,,,0.0,0.0
1,Historical expanding mean,units__expanding_mean_prior,17,4,7.0,0.003795066413662239,527,527,1.0,4.79366116141727,9.605850472535945,0.2618699525310357,-0.013286173381962633,9647.0,9518.828285384207,0.8,baseline,,,0.0,0.0
2,Naive lag 1,units__lag_1,21,4,7.0,0.1493624772313297,549,549,1.0,6.859744990892532,13.385281316425676,0.39123207978391855,0.08643257843340951,9626.0,10458.0,0.8374999999999999,baseline,,,0.0,0.0
2,Rolling mean 4,units__rolling_mean_4,21,4,7.0,0.04371584699453552,549,549,1.0,5.42562234365513,10.706552297200709,0.30943971189140523,0.012310409308123823,9626.0,9744.5,0.8625,baseline,,,0.0,0.0
2,Historical expanding mean,units__expanding_mean_prior,21,4,7.0,0.0018214936247723133,549,549,1.0,5.158476102981161,10.300145047866357,0.29420355085566774,-0.0043039850392420625,9626.0,9584.569840012256,0.8,baseline,,,0.0,0.0
3,Naive lag 1,units__lag_1,25,4,7.0,0.17391304347826086,552,552,1.0,7.047101449275362,12.051068868343805,0.3889222155568886,-0.03999200159968006,10002.0,9602.0,0.75,baseline,,,0.0,0.0
3,Rolling mean 4,units__rolling_mean_4,25,4,7.0,0.06702898550724638,552,552,1.0,6.016002415458938,11.248009306785777,0.3320169299473439,-0.04564087182563488,10002.0,9545.5,0.8,baseline,,,0.0,0.0
3,Historical expanding mean,units__expanding_mean_prior,25,4,7.0,0.018115942028985508,552,552,1.0,5.507590867485261,10.057054436540051,0.30395822424033836,-0.04298324140069629,10002.0,9572.081619510236,0.7749999999999999,baseline,,,0.0,0.0
4,Naive lag 1,units__lag_1,29,4,8.0,0.1316270566727605,547,547,1.0,6.29981718464351,9.333355097040874,0.3146169999087008,0.056970692960832646,10953.0,11577.0,0.8875,baseline,,,0.0,0.0
4,Rolling mean 4,units__rolling_mean_4,29,4,8.0,0.043875685557586835,547,547,1.0,5.296008531383302,8.710890222614726,0.26448613774004076,-0.009700538665205885,10953.0,10846.75,0.875,baseline,,,0.0,0.0
4,Historical expanding mean,units__expanding_mean_prior,29,4,8.0,0.005484460694698354,547,547,1.0,5.258173982434454,10.039730950628778,0.26259665556392275,-0.11766553393605364,10953.0,9664.209406798405,0.8375000000000001,baseline,,,0.0,0.0
1,HistGradientBoosting Poisson,,17,4,,0.0,527,527,1.0,5.482267487655,12.124187959590206,0.2994874018859941,-0.09686712021719636,9647.0,8712.522891264707,0.775,hist_gradient_boosting,0.0056925996204933585,294.0,4.331024200000684,0.018464699998730794
1,Random Forest,,17,4,,0.0,527,527,1.0,5.015598579687095,10.384368366229708,0.27399403456982474,-0.03205864476631515,9647.0,9337.730253939357,0.8125,random_forest,0.0056925996204933585,294.0,0.47971619999589166,0.08291479999752482
2,HistGradientBoosting Poisson,,21,4,,0.0,549,549,1.0,4.9176285394006225,9.80803488123006,0.28046728320495967,-0.02023987488314115,9626.0,9431.170964374884,0.8125,hist_gradient_boosting,0.0036429872495446266,297.0,4.486967800003185,0.01674009999987902
2,Random Forest,,21,4,,0.0,549,549,1.0,5.25007365903533,10.169866865513153,0.2994276375244542,0.0029469569458672046,9626.0,9654.367407560918,0.8250000000000001,random_forest,0.0036429872495446266,297.0,0.45428030000039143,0.07816870000533527
3,HistGradientBoosting Poisson,,25,4,,0.0,552,552,1.0,5.970799369534609,12.239512633410689,0.32952222075415954,-0.0976519940586883,10002.0,9025.284755425,0.7625,hist_gradient_boosting,0.041666666666666664,299.0,4.5686273999963305,0.018653599996468984
3,Random Forest,,25,4,,0.0,552,552,1.0,5.554888766137699,10.37076515991409,0.30656854618156465,-0.02568717313949694,10002.0,9745.076894258751,0.8,random_forest,0.041666666666666664,299.0,0.49615040000207955,0.07861289999709697
4,HistGradientBoosting Poisson,,29,4,,0.0,547,547,1.0,5.1547875155702,9.533928636605253,0.2574334676359809,-0.11075533063096996,10953.0,9739.896863598986,0.8625,hist_gradient_boosting,0.007312614259597806,309.0,4.711956999999529,0.019463800002995413
4,Random Forest,,29,4,,0.0,547,547,1.0,5.010019974617442,9.326220418541515,0.2502036817415996,-0.03087334498180252,10953.0,10614.844252414317,0.875,random_forest,0.007312614259597806,309.0,0.5163585000045714,0.07837950000248384
1,Adaptive regime selector,,17,4,,0.003795066413662239,527,527,1.0,4.79366116141727,9.605850472535947,0.2618699525310357,-0.01328617338196263,9647.0,9518.828285384207,0.8,adaptive_selector,,,0.0,0.0
