column,feature_dtype,role,availability,missing_fraction_development,unique_non_null_development,selected_for_modeling,selection_reason
article_code,numeric,categorical_identifier,known_in_advance,0.0,247,True,selected
period_days,numeric,period_structure,known_in_advance,0.0,1,False,constant_in_development
period_is_complete,boolean,period_structure,known_in_advance,0.0,1,False,constant_in_development
department_code,numeric,static_or_scheduled_metadata,known_if_catalog_available,0.0,18,True,selected
period_start_year,numeric,period_calendar_feature,known_in_advance,0.0,2,True,selected
period_start_month,numeric,period_calendar_feature,known_in_advance,0.0,8,True,selected
period_start_week_of_year,numeric,period_calendar_feature,known_in_advance,0.0,33,True,selected
period_start_day_of_week,numeric,period_calendar_feature,known_in_advance,0.0,1,False,constant_in_development
period_mid_month,numeric,period_calendar_feature,known_in_advance,0.0,8,True,selected
period_month_sin,numeric,period_calendar_feature,known_in_advance,0.0,8,True,selected
period_month_cos,numeric,period_calendar_feature,known_in_advance,0.0,7,True,selected
period_week_sin,numeric,period_calendar_feature,known_in_advance,0.0,33,True,selected
period_week_cos,numeric,period_calendar_feature,known_in_advance,0.0,33,True,selected
units__lag_1,numeric,article_target_lag,past_only,0.16108276015087641,170,True,selected
units__lag_1_observed,boolean,article_history_availability,past_only,0.0,2,True,selected
units__lag_2,numeric,article_target_lag,past_only,0.19303305968493453,169,True,selected
units__lag_2_observed,boolean,article_history_availability,past_only,0.0,2,True,selected
units__lag_4,numeric,article_target_lag,past_only,0.2509429775904149,163,True,selected
units__lag_4_observed,boolean,article_history_availability,past_only,0.0,2,True,selected
units__lag_8,numeric,article_target_lag,past_only,0.35810960727756824,156,True,selected
units__lag_8_observed,boolean,article_history_availability,past_only,0.0,2,True,selected
history_periods_elapsed,numeric,article_history_structure,past_only,0.0,33,True,selected
history_observed_periods,numeric,article_history_structure,past_only,0.0,34,True,selected
history_observation_rate,numeric,article_history_structure,past_only,0.0,310,True,selected
units__expanding_mean_prior,numeric,article_target_history,past_only,0.027069003771910363,2312,True,selected
units__expanding_std_prior,numeric,article_target_history,past_only,0.07810073219436432,3389,True,selected
periods_since_last_observation,numeric,article_history_structure,past_only,0.027069003771910363,24,True,selected
article_demand_regime_prior,categorical_or_text,adaptive_demand_regime,past_only,0.0,5,True,selected
units__rolling_mean_4,numeric,article_target_history,past_only,0.056800532504992236,443,True,selected
units__rolling_std_4,numeric,article_target_history,past_only,0.15309518526736188,1557,True,selected
units__rolling_count_4,numeric,article_target_history,past_only,0.0,5,True,selected
units__rolling_mean_8,numeric,article_target_history,past_only,0.03705347237630353,832,True,selected
units__rolling_std_8,numeric,article_target_history,past_only,0.1018415797648103,2490,True,selected
units__rolling_count_8,numeric,article_target_history,past_only,0.0,9,True,selected
global_target_total__lag_1,numeric,global_demand_history,past_only,0.0,32,True,selected
global_target_total__rolling_mean_4,numeric,global_demand_history,past_only,0.0,33,True,selected
context_days_available,numeric,context_coverage,known_in_advance,0.0,1,False,constant_in_development
context_es_festivo__days_true,numeric,period_context,known_in_advance,0.0,3,True,selected
context_num_festivos__mean,numeric,period_context,known_in_advance,0.0,3,True,selected
context_num_festivos__sum,numeric,period_context,known_in_advance,0.0,3,True,selected
context_tiene_evento__days_true,numeric,period_context,known_in_advance,0.0,8,True,selected
context_num_eventos__mean,numeric,period_context,known_in_advance,0.0,13,True,selected
context_num_eventos__sum,numeric,period_context,known_in_advance,0.0,13,True,selected
context_event_intensity_mean__mean,numeric,period_context,known_in_advance,0.15420457066785,18,True,selected
context_event_intensity_max__mean,numeric,period_context,known_in_advance,0.15420457066785,13,True,selected
context_coverage_fraction,numeric,context_coverage,known_in_advance,0.0,1,False,constant_in_development
