period_index,report_start,report_end,split
1,2025-10-06,2025-10-12,development
2,2025-10-13,2025-10-19,development
3,2025-10-20,2025-10-26,development
4,2025-10-27,2025-11-02,development
5,2025-11-03,2025-11-09,development
6,2025-11-10,2025-11-16,development
7,2025-11-17,2025-11-23,development
8,2025-11-24,2025-11-30,development
9,2025-12-01,2025-12-07,development
10,2025-12-08,2025-12-14,development
11,2025-12-15,2025-12-21,development
12,2025-12-22,2025-12-28,development
13,2025-12-29,2026-01-04,development
14,2026-01-05,2026-01-11,development
15,2026-01-12,2026-01-18,development
16,2026-01-19,2026-01-25,development
17,2026-01-26,2026-02-01,development
18,2026-02-02,2026-02-08,development
19,2026-02-09,2026-02-15,development
20,2026-02-16,2026-02-22,development
21,2026-02-23,2026-03-01,development
22,2026-03-02,2026-03-08,development
23,2026-03-09,2026-03-15,development
24,2026-03-16,2026-03-22,development
25,2026-03-23,2026-03-29,development
26,2026-03-30,2026-04-05,development
27,2026-04-06,2026-04-12,development
28,2026-04-13,2026-04-19,development
29,2026-04-20,2026-04-26,development
30,2026-04-27,2026-05-03,development
31,2026-05-04,2026-05-10,development
32,2026-05-11,2026-05-17,development
33,2026-05-18,2026-05-24,development
34,2026-05-25,2026-05-31,final_test
35,2026-06-01,2026-06-07,final_test
36,2026-06-08,2026-06-14,final_test
37,2026-06-15,2026-06-21,final_test
38,2026-06-22,2026-06-28,final_test
39,2026-06-29,2026-07-05,final_test
