report_start,report_end,article_code,article_name,department_code,department_name,article_demand_regime_prior,activity_status,manual_review_required,forecast_scope_reason,periods_since_last_observed,selected_model,predicted_units,predicted_units_rounded,forecast_rank,forecast_share,forecast_cumulative_share,planning_class,used_prediction_fallback,units__lag_1,units__rolling_mean_4,units__expanding_mean_prior,history_observation_rate,periods_since_last_observation,context_coverage_fraction,context_days_available,context_temperature_mean__mean,context_temperature_max__mean,context_temperature_min__mean,context_precipitation_mm__mean,context_precipitation_mm__sum,context_rain_mm__mean,context_rain_mm__sum,context_precipitation_hours__mean,context_precipitation_hours__sum,context_wind_speed_max_kmh__mean,context_sunshine_duration_s__mean,context_sunshine_hours__mean,context_es_festivo__days_true,context_num_festivos__mean,context_num_festivos__sum,context_tiene_evento__days_true,context_num_eventos__mean,context_num_eventos__sum,context_event_intensity_mean__mean,context_event_intensity_max__mean
2026-07-13,2026-07-19,96,RACIÓN DE PAN,15,OTROS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,382.2564102564103,382,1,0.13995035177206022,0.13995035177206022,A,False,362.0,349.25,382.2564102564103,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1637,COPA DE VICTORIA,5,CERVEZAS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,131.25641025641025,131,2,0.04805512816750578,0.188005479939566,A,False,166.0,147.75,131.25641025641025,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1690,CAFÉ E INFUSIONES,13,POSTRES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,114.87179487179488,115,3,0.04205645129721155,0.23006193123677757,A,False,86.0,96.0,114.87179487179488,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2138,SAM DE GAMBAS,28,CLASICOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,77.56410256410257,78,4,0.02839749222635378,0.25845942346313133,A,False,93.0,79.25,77.56410256410257,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1945,EXTRA CROQUETA DE JAMON,22,EXTRAS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,71.3076923076923,71,5,0.026106917646773507,0.28456634110990486,A,False,62.0,64.75,71.3076923076923,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2309,AGUA 70CL,4,REFRESCOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,68.56410256410257,69,6,0.025102444368023145,0.30966878547792803,A,False,74.0,69.0,68.56410256410257,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2,RAVIOLI DE RABO DE TERNERA,28,CLASICOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,60.97435897435897,61,7,0.022323714550171663,0.3319925000280997,A,False,52.0,48.75,60.97435897435897,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1974,ZAMBURIÑAS A LA BRASA,3,CARTA,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,54.371428571428574,54,8,0.019906273252073656,0.3518987732801734,A,False,40.0,53.25,54.371428571428574,0.8974358974358975,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1691,CERVEZA VICTORIA,5,CERVEZAS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,51.69230769230769,52,9,0.018925403083745195,0.37082417636391857,A,False,47.0,61.25,51.69230769230769,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2381,PAN BAO DE CARRILLERA DE CERDO,1,TAPAS CALIENTES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,50.43589743589744,50,10,0.018465410647681944,0.3892895870116005,A,False,50.0,39.0,50.43589743589744,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,30001,MENU DEL DIA,30,MENU DEL DIA,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,49.86486486486486,50,11,0.018256346242102175,0.40754593325370264,A,False,69.0,78.75,49.86486486486486,0.9487179487179487,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,48,AGUA CRISTAL,4,REFRESCOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,43.56410256410256,44,12,0.01594953365043804,0.4234954669041407,A,False,28.0,36.0,43.56410256410256,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2280,LEGARIS ROBLE,9,TINTOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,37.94871794871795,38,13,0.013893649089257385,0.4373891159933981,A,False,28.0,23.0,37.94871794871795,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,49,AGUA CON GAS,4,REFRESCOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,35.12820512820513,35,14,0.012861013008299067,0.45025012900169714,A,False,37.0,42.25,35.12820512820513,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,37,COCA COLA ZERO,4,REFRESCOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,34.23076923076923,34,15,0.012532446982539603,0.4627825759842367,A,False,28.0,32.5,34.23076923076923,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1901,EMPANADILLA CRIOLLA,1,TAPAS CALIENTES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,33.69230769230769,34,16,0.012335307367083923,0.47511788335132066,A,False,45.0,30.5,33.69230769230769,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2303,BOCATIN DE CALAMARES,1,TAPAS CALIENTES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,29.871794871794872,30,17,0.010936554857422199,0.48605443820874283,A,False,40.0,29.25,29.871794871794872,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,10,KIMUCHI DE MARISCOS,28,CLASICOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,28.333333333333332,28,18,0.010373298813263116,0.49642773702200593,A,False,25.0,29.0,28.333333333333332,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1523,TINTO DE VERANO,5,CERVEZAS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,28.128205128205128,28,19,0.010298198007375237,0.5067259350293811,A,False,48.0,53.5,28.128205128205128,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1801,TARTA ARABE,13,POSTRES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,27.384615384615383,27,20,0.01002595758603168,0.5167518926154128,A,False,19.0,20.0,27.384615384615383,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2237,YEMA DE HUEVO DE CORRAL,28,CLASICOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,27.358974358974358,27,21,0.010016569985295695,0.5267684626007084,A,False,19.0,19.5,27.358974358974358,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1,NUESTRAS CROQUETAS DE JAMON,28,CLASICOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,27.025641025641026,27,22,0.009894531175727896,0.5366629937764363,A,False,28.0,29.75,27.025641025641026,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1848,VIÑA POMAL CRIANZA,9,TINTOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,24.743589743589745,25,23,0.009059034710225256,0.5457220284866616,A,False,12.0,12.5,24.743589743589745,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2391,CONDE DEL PAZO,8,BLANCOS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,24.743589743589745,25,24,0.009059034710225256,0.5547810631968869,A,False,28.0,24.25,24.743589743589745,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1504,TORRIJA,13,POSTRES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,24.358974358974358,24,25,0.008918220699185483,0.5636992838960724,A,False,16.0,14.75,24.358974358974358,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2335,TORTITA DE CAMARONES,14,SUGERENCIAS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,24.05128205128205,24,26,0.008805569490353668,0.5725048533864261,A,False,23.0,27.5,24.05128205128205,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2378,TIGRE DE BOGAVANTE,1,TAPAS CALIENTES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,23.692307692307693,24,27,0.008674143080049882,0.581178996466476,A,False,11.0,19.25,23.692307692307693,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2382,ALBONDIGA  XL DE WAGYU,1,TAPAS CALIENTES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,22.23076923076923,22,28,0.008139049838098752,0.5893180463045747,A,False,16.0,20.25,22.23076923076923,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2374,CROQUETA DE CECINA,14,SUGERENCIAS,sparse,stale_observed,True,included_observed_history_conservative,10,Historical expanding mean,22.2,22,29,0.00812778471721557,0.5974458310217903,A,False,,,22.2,0.1282051282051282,11.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1747,TARTAR DE ATUN,3,CARTA,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,21.487179487179485,21,30,0.007866809416755195,0.6053126404385455,A,False,22.0,23.75,21.487179487179485,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1507,OTROS DESCRIPCIÓN,15,OTROS,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,21.153846153846153,21,31,0.007744770607187394,0.6130574110457329,A,False,1.0,2.5,21.153846153846153,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,1939,ALCACHOFA  A LA BRASA,3,CARTA,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,20.871794871794872,21,32,0.007641506999091562,0.6206989180448245,A,False,12.0,14.5,20.871794871794872,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
2026-07-13,2026-07-19,2060,PATATAS FRITAS GAJO,26,GUARNICIONES,frequent,recent_observed,False,included_recent_demand_history,0,Historical expanding mean,20.641025641025642,21,33,0.0075570185924677,0.6282559366372922,A,False,18.0,14.5,20.641025641025642,1.0,1.0,1.0,7,,,,,,,,,,,,,0,0.0,0.0,7,4.142857142857143,29.0,1.6047619047619046,2.5714285714285716
